profile_image_url,description,id,protected,verified,username,location,url,pinned_tweet_id,name,created_at,public_metrics.followers_count,public_metrics.following_count,public_metrics.tweet_count,public_metrics.listed_count,entities.url.urls,entities.description.mentions,entities.description.urls,entities.description.hashtags,screenName,party
https://pbs.twimg.com/profile_images/1167510172018892803/yUYJ3XKT_normal.jpg,#Biobauer #Nationalrat #Grüne #Bern #Agrarpolitik Gezwitscher direkt ab Hof. Präsident @KleinbauernVKMB https://t.co/Wbdf9ReJSg,2441812039,False,False,kilian_baumann,"Grossaffoltern, Schweiz",https://t.co/cMANgsYUTk,,Kilian Baumann,2014-04-13T14:41:36.000Z,2888.0,1151.0,1673.0,82.0,"[{'start': 0, 'end': 23, 'url': 'https://t.co/cMANgsYUTk', 'expanded_url': 'http://www.kilianbaumann.ch', 'display_url': 'kilianbaumann.ch'}]","[{'start': 87, 'end': 103, 'username': 'KleinbauernVKMB'}]","[{'start': 104, 'end': 127, 'url': 'https://t.co/Wbdf9ReJSg', 'expanded_url': 'http://kilianbaumann.ch', 'display_url': 'kilianbaumann.ch'}]","[{'start': 0, 'end': 9, 'tag': 'Biobauer'}, {'start': 10, 'end': 22, 'tag': 'Nationalrat'}, {'start': 23, 'end': 29, 'tag': 'Grüne'}, {'start': 30, 'end': 35, 'tag': 'Bern'}, {'start': 36, 'end': 49, 'tag': 'Agrarpolitik'}]",kilian_baumann,Green
https://pbs.twimg.com/profile_images/633582586791485440/U_NOC-_i_normal.jpg,"Unternehmer, Ing. ETH, Ökonom, OSInt nerd",2945863024,False,False,klauskirchmayr,Aesch BL,,,Klaus Kirchmayr,2014-12-28T13:56:52.000Z,746.0,255.0,1854.0,27.0,,,,,klauskirchmayr,Green
https://pbs.twimg.com/profile_images/1336345951896743940/cmtqIyKZ_normal.jpg,"Gemeinderätin, Bau-, Energie- und Umweltdirektorin @BielBienne_off; Vize-Präsidentin @gruenebern",2374449524,False,False,lena_fra,Biel/Bienne,https://t.co/EWISS94UsR,,Lena Frank,2014-03-05T22:53:18.000Z,1320.0,938.0,1437.0,62.0,"[{'start': 0, 'end': 23, 'url': 'https://t.co/EWISS94UsR', 'expanded_url': 'http://www.lenafrank.ch', 'display_url': 'lenafrank.ch'}]","[{'start': 51, 'end': 66, 'username': 'BielBienne_off'}, {'start': 85, 'end': 96, 'username': 'gruenebern'}]",,,lena_fra,Green
https://pbs.twimg.com/profile_images/1204067594686357504/v_4RXvKD_normal.jpg,"Bédéphile, féministe • Conseillère nationale @LesVertsSuisses • Prés. @RSRLausanne @eyesup_app et @SGCH_SSCH • Vice-prés. @TravailsuisseCH • Elle",324967174,False,True,leonoreporchet,Lausanne,https://t.co/ZtQtFMMht3,1545355936746946563,Porchet Léonore,2011-06-27T14:28:18.000Z,5207.0,1457.0,9528.0,164.0,"[{'start': 0, 'end': 23, 'url': 'https://t.co/ZtQtFMMht3', 'expanded_url': 'http://www.leonoreporchet.ch', 'display_url': 'leonoreporchet.ch'}]","[{'start': 45, 'end': 61, 'username': 'LesVertsSuisses'}, {'start': 70, 'end': 82, 'username': 'RSRLausanne'}, {'start': 83, 'end': 94, 'username': 'eyesup_app'}, {'start': 98, 'end': 108, 'username': 'SGCH_SSCH'}, {'start': 122, 'end': 138, 'username': 'TravailsuisseCH'}]",,,leonoreporchet,Green
https://pbs.twimg.com/profile_images/607797944163700736/o-UuR7GC_normal.jpg,,303060420,False,False,mbossard13,,,,Martin Bossard,2011-05-22T07:22:18.000Z,69.0,183.0,384.0,10.0,,,,,mbossard13,Green
https://pbs.twimg.com/profile_images/1361022692292521984/kCL64kj7_normal.jpg,"grün und politisch, Heimwehbaslerin, Wahlfribourgerin",2867489266,False,False,mirjamballmer,,https://t.co/OtiQefkkcD,,Mirjam Ballmer,2014-11-08T15:08:15.000Z,886.0,169.0,863.0,29.0,"[{'start': 0, 'end': 23, 'url': 'https://t.co/OtiQefkkcD', 'expanded_url': 'http://www.mirjamballmer.ch', 'display_url': 'mirjamballmer.ch'}]",,,,mirjamballmer,Green
https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,446465450,False,False,mirjko,,,,Mirjam Kosch,2011-12-25T19:17:51.000Z,6.0,9.0,0.0,0.0,,,,,mirjko,Green
https://pbs.twimg.com/profile_images/939027186261958656/Bt8OLuaf_normal.jpg,,2353332248,False,False,mtoengi,,http://t.co/ugKFKSxhmG,,Michael Töngi,2014-02-20T14:32:55.000Z,1177.0,427.0,1247.0,56.0,"[{'start': 0, 'end': 22, 'url': 'http://t.co/ugKFKSxhmG', 'expanded_url': 'http://www.michael-toengi.ch', 'display_url': 'michael-toengi.ch'}]",,,,mtoengi,Green
https://pbs.twimg.com/profile_images/1144983771873193984/yd7sPTbX_normal.png,"Feministin. Europäerin 🚴‍♀️ Nationalrätin @parlCH, Präsidentin @gruenebern, Gewerkschafterin mit 💪💚 Hier privat & politisch",108401646,False,False,natalieimboden,Bern und überall,https://t.co/u0DJppHuhe,,Natalie Imboden,2010-01-25T20:51:56.000Z,2630.0,2064.0,10374.0,112.0,"[{'start': 0, 'end': 23, 'url': 'https://t.co/u0DJppHuhe', 'expanded_url': 'http://www.natalieimboden.ch', 'display_url': 'natalieimboden.ch'}]","[{'start': 42, 'end': 49, 'username': 'parlCH'}, {'start': 63, 'end': 74, 'username': 'gruenebern'}]",,,natalieimboden,Green
https://pbs.twimg.com/profile_images/1301337487311339520/ELSRUu6S_normal.jpg,"Membre de la direction générale, responsable du secteur financement au sein de la Banque Alternative Suisse",3018353182,False,False,nicole_bardet,"Romont, Fribourg",,,Nicole Bardet,2015-02-04T18:36:36.000Z,71.0,31.0,27.0,0.0,,,,,nicole_bardet,Green
https://pbs.twimg.com/profile_images/570250105932881920/BCGlfHgR_normal.jpeg,"Météorologue à MétéoSuisse, Conseiller municipal, candidat au Conseil national sur la liste des Verts",3059318854,False,False,pierreeckert,Grand-Saconnex; Genève,http://t.co/2PP5XDBWGM,,Pierre Eckert,2015-02-24T15:49:33.000Z,178.0,64.0,26.0,12.0,"[{'start': 0, 'end': 22, 'url': 'http://t.co/2PP5XDBWGM', 'expanded_url': 'http://www.verts-ge.ch/grand-saconnex', 'display_url': 'verts-ge.ch/grand-saconnex'}]",,,,pierreeckert,Green
https://pbs.twimg.com/profile_images/1355900443734503431/3mUhFr_v_normal.jpg,"Ich bin ich.
Grossrätin und Co-Präsidentin Grüne Basel-Stadt",2292598170,False,False,raffaela_hanaer,,https://t.co/r73rmLDctj,,Raffaela Hanauer,2014-01-15T11:57:16.000Z,604.0,183.0,371.0,22.0,"[{'start': 0, 'end': 23, 'url': 'https://t.co/r73rmLDctj', 'expanded_url': 'http://www.raffaela-hanauer.ch', 'display_url': 'raffaela-hanauer.ch'}]",,,,raffaela_hanaer,Green
https://pbs.twimg.com/profile_images/1084143606099857410/OZZzQ6dk_normal.jpg,"Delegierte European Greens EGP, Historikerin.",1530247224,False,False,regularytz,Bern,https://t.co/C7nEFh3Sbk,,Regula Rytz,2013-06-19T09:10:15.000Z,13762.0,386.0,14040.0,263.0,"[{'start': 0, 'end': 23, 'url': 'https://t.co/C7nEFh3Sbk', 'expanded_url': 'http://www.regularytz.ch', 'display_url': 'regularytz.ch'}]",,,,regularytz,Green
