username,id,created_at,name,verified,profile_image_url,description,protected,location,url,public_metrics.followers_count,public_metrics.following_count,public_metrics.tweet_count,public_metrics.listed_count,entities.url.urls,entities.description.hashtags,entities.description.urls,pinned_tweet_id,entities.description.mentions
SenatorWarnock,1352287997853622273,2021-01-21T16:12:57.000Z,Senator Reverend Raphael Warnock,True,https://pbs.twimg.com/profile_images/1417888524821467139/vxWkd_gh_normal.jpg,United States Senator for Georgia. Pastor of Ebenezer Baptist Church.,False,Georgia,https://t.co/HCE0qK1p6w,169201,133,2665,761,"[{'start': 0, 'end': 23, 'url': 'https://t.co/HCE0qK1p6w', 'expanded_url': 'https://www.warnock.senate.gov', 'display_url': 'warnock.senate.gov'}]",,,1556360121986519040,
SenAlexPadilla,1351236267707654145,2021-01-18T18:34:30.000Z,Senator Alex Padilla,True,https://pbs.twimg.com/profile_images/1410351547964432388/VgMJmiWA_normal.jpg,United States Senator for California,False,California,https://t.co/OX9pgyCpJU,61812,362,2524,488,"[{'start': 0, 'end': 23, 'url': 'https://t.co/OX9pgyCpJU', 'expanded_url': 'http://www.padilla.senate.gov', 'display_url': 'padilla.senate.gov'}]",,,1506788552696287235,
RepDeborahRoss,1348683154815655940,2021-01-11T17:28:59.000Z,Congresswoman Deborah Ross,True,https://pbs.twimg.com/profile_images/1379882991938367488/41kADLTm_normal.jpg,"Proudly serving North Carolina’s 2nd District. Former civil rights attorney and NC state legislator.
Committees: @HouseJudiciary, @RulesDemocrats, @HouseScience",False,,https://t.co/nEtfjTfzXV,6699,919,2355,192,"[{'start': 0, 'end': 23, 'url': 'https://t.co/nEtfjTfzXV', 'expanded_url': 'http://Ross.House.Gov', 'display_url': 'Ross.House.Gov'}]",,,1551203772948422658,"[{'start': 113, 'end': 128, 'username': 'HouseJudiciary'}, {'start': 130, 'end': 145, 'username': 'RulesDemocrats'}, {'start': 147, 'end': 160, 'username': 'HouseScience'}]"
RepTroyNehls,1347318288850825217,2021-01-07T23:04:54.000Z,Congressman Troy Nehls,True,https://pbs.twimg.com/profile_images/1524796826116923397/ubnyU2Em_normal.jpg,Proudly serving the people of Texas' 22nd Congressional District in the United States House of Representatives.,False,,https://t.co/YD6HqLGYO3,52471,1250,1281,317,"[{'start': 0, 'end': 23, 'url': 'https://t.co/YD6HqLGYO3', 'expanded_url': 'http://nehls.house.gov', 'display_url': 'nehls.house.gov'}]",,,,
SenatorHagerty,1346873610875654147,2021-01-06T17:37:54.000Z,Senator Bill Hagerty,True,https://pbs.twimg.com/profile_images/1349435761515495427/hQun4DXj_normal.jpg,Husband | Father of four | Businessman | Community Volunteer | Conservative Republican | U.S. Senator | Former U.S. Ambassador to Japan | Proud Tennessean,False,"Nashville, TN",https://t.co/iYfulYs34q,21395,162,5172,360,"[{'start': 0, 'end': 23, 'url': 'https://t.co/iYfulYs34q', 'expanded_url': 'http://www.hagerty.senate.gov', 'display_url': 'hagerty.senate.gov'}]",,,,
RepMondaire,1345883634046279681,2021-01-04T00:04:20.000Z,Rep. Mondaire Jones,True,https://pbs.twimg.com/profile_images/1346226012187734016/7urno5n3_normal.jpg,"Congressman, NY-17. Member, @HouseJudiciary, @EdLaborCmte, & @CongressEthics. Deputy Whip, @USProgressives. Co-Chair, @LGBTEqCaucus. He/Him. Official account.",False,,https://t.co/gTf3XmXq65,25107,536,1665,368,"[{'start': 0, 'end': 23, 'url': 'https://t.co/gTf3XmXq65', 'expanded_url': 'http://jones.house.gov', 'display_url': 'jones.house.gov'}]",,,1382500499748950018,"[{'start': 28, 'end': 43, 'username': 'HouseJudiciary'}, {'start': 45, 'end': 57, 'username': 'EdLaborCmte'}, {'start': 61, 'end': 76, 'username': 'CongressEthics'}, {'start': 91, 'end': 106, 'username': 'USProgressives'}, {'start': 118, 'end': 131, 'username': 'LGBTEqCaucus'}]"
RepLaTurner,1345850704800468993,2021-01-03T21:54:10.000Z,Rep. Jake LaTurner,True,https://pbs.twimg.com/profile_images/1353827408105910272/bKNy90In_normal.jpg,"U.S. Congressman for Kansas's 2nd District. Proudly serving on 
@HomelandGOP, @GOPOversight & @HouseScienceGOP. Sixth Generation Kansan.",False,,https://t.co/CaOKT1f8Kf,4289,104,1246,204,"[{'start': 0, 'end': 23, 'url': 'https://t.co/CaOKT1f8Kf', 'expanded_url': 'https://laturner.house.gov/', 'display_url': 'laturner.house.gov'}]",,,,"[{'start': 64, 'end': 76, 'username': 'HomelandGOP'}, {'start': 78, 'end': 91, 'username': 'GOPOversight'}, {'start': 94, 'end': 110, 'username': 'HouseScienceGOP'}]"
RepMann,1345825008887721986,2021-01-03T20:11:11.000Z,Tracey Mann,True,https://pbs.twimg.com/profile_images/1367926202401492992/4eZE1usc_normal.jpg,"Official account for Rep. Tracey Mann |Big First, KS | Advocate for KS agriculture and conservative values | serving on @HouseAgGOP and @HouseVetAffairs #KS01",False,,https://t.co/ps0Zc0Kel1,4175,164,570,204,"[{'start': 0, 'end': 23, 'url': 'https://t.co/ps0Zc0Kel1', 'expanded_url': 'https://mann.house.gov/', 'display_url': 'mann.house.gov'}]","[{'start': 153, 'end': 158, 'tag': 'KS01'}]",,1490706687333912576,"[{'start': 120, 'end': 131, 'username': 'HouseAgGOP'}, {'start': 136, 'end': 152, 'username': 'HouseVetAffairs'}]"
RepMMM,1345807954604412929,2021-01-03T19:03:30.000Z,"Rep. Mariannette Miller-Meeks, M.D.",True,https://pbs.twimg.com/profile_images/1483826185180176387/_5L6m8fN_normal.jpg,"Mom, Doctor, Veteran, and Congresswoman proudly serving Iowa's Second District | Member of @HouseVetAffairs @EdLaborGOP @HomelandGOP @SelectGOP | #FightForIowa",False,Iowa,https://t.co/bnLnJDJ9bh,12088,303,3001,274,"[{'start': 0, 'end': 23, 'url': 'https://t.co/bnLnJDJ9bh', 'expanded_url': 'http://millermeeks.house.gov', 'display_url': 'millermeeks.house.gov'}]","[{'start': 146, 'end': 159, 'tag': 'FightForIowa'}]",,,"[{'start': 91, 'end': 107, 'username': 'HouseVetAffairs'}, {'start': 108, 'end': 119, 'username': 'EdLaborGOP'}, {'start': 120, 'end': 132, 'username': 'HomelandGOP'}, {'start': 133, 'end': 143, 'username': 'SelectGOP'}]"
RepHarshbarger,1345787285179162624,2021-01-03T17:41:59.000Z,Rep. Diana Harshbarger,True,https://pbs.twimg.com/profile_images/1345806240123916289/NhXXybt1_normal.jpg,Proudly representing the great people of East Tennessee. Serving on @EdLaborGOP and @HomelandGOP.,False,"Kingsport, TN",https://t.co/5J8SbYQUu0,16215,994,1481,283,"[{'start': 0, 'end': 23, 'url': 'https://t.co/5J8SbYQUu0', 'expanded_url': 'http://harshbarger.house.gov', 'display_url': 'harshbarger.house.gov'}]",,,1524382428466454530,"[{'start': 68, 'end': 79, 'username': 'EdLaborGOP'}, {'start': 84, 'end': 96, 'username': 'HomelandGOP'}]"
